scaled_Compras_densidad,scaled_Educación_densidad,scaled_Entretenimiento_densidad,scaled_Salud_densidad,scaled_Trabajo_densidad,scaled_Poblacion,FIPS
-0.08284933534086072,-0.22025435702801624,-0.5483879138918596,-0.08392353663596042,-0.22903462547436634,-0.17438769971347348,1
-0.3317693353463923,0.07435860923720176,-0.16086825387859482,-0.11851474148013692,-0.3115525341848468,-0.7649173305716072,2
6.972457375413487,6.850043446960223,6.182916991198409,7.062459256274242,6.946465948543389,-0.7658771450095312,4
-0.10470875324568411,-0.09979101143863811,-0.6008433249825845,0.07186123808422344,-0.34637338878582774,-0.45116763597315557,5
-0.2792710465251852,-0.2835093651402696,-0.4056578221547437,-0.2809171364977861,-0.2709464192773535,4.491704957305139,6
-0.20787303240675925,-0.2534631407467398,-0.21071212721264332,-0.21760663704219224,-0.0645743255693251,-0.06971003327944887,8
-0.2601577102907434,-0.17831228572595423,-0.4034409128275394,-0.15162523598036878,-0.04908928398957588,-0.37182356884086365,9
-0.15289805734509204,-0.2798737070231264,-0.517070517552552,-0.12888855458214427,0.043423281829406433,-0.7278766776258442,10
-0.203057087170327,0.8391225968924617,1.1755808290821683,-0.012761603761019674,0.6821757024993106,-0.7738358173865054,11
-0.12558646736416823,-0.44132732304031635,-0.2710556229358144,0.018425239347602925,-0.1587922664567885,2.1225363894798557,12
-0.18976617687733704,-0.3621394662942677,-0.5490547876128573,-0.08673229627330134,-0.03877139986702465,0.6115931618627625,13
-0.14092423249497352,-0.3288229440663123,-0.19796806701497574,-0.36087672138225807,-0.4175147269092329,-0.6673881124346323,15
-0.1456656719779727,-0.08448450809340204,-0.13556322586914854,-0.18072747696753816,-0.1562365705513507,-0.6047300080348118,16
-0.26684341706932485,-0.1528017572419973,0.17037101068305308,-0.19510224766893955,0.051854144750122344,0.8728057099516661,17
-0.27564382535991255,-0.14620630556753275,-0.3110454220577325,-0.13325320535591093,0.19737005652632664,0.06740821151413234,18
0.052781827071633786,0.027077713936365332,0.49893983294153565,-0.07280566979806577,-0.14509328256038737,-0.42766251533827937,19
-0.14373419224044753,0.12092808335858088,-0.32480124581713343,-0.14865622685035462,-0.12023557907777577,-0.4632843181089448,20
-0.13403137927818262,-0.20753465070339766,-0.49603559155974025,0.05926392364209474,-0.16205854104581208,-0.24851403326079236,21
0.016480506052082906,-0.1825134987965509,0.2067855586230111,0.08263374098979774,-0.12055674134490325,-0.23203746965708522,22
0.4607414135441811,0.1589722351285545,-0.1236280077518426,-0.03965450098468608,0.08146083149215999,-0.6767081528729255,23
-0.23239253457009923,-0.326484119592552,-0.5485251404657286,-0.1755706789361749,-0.37373274096433223,-0.019705110744016277,24
-0.16899945602780475,-0.04363157574756416,-0.3214678606284833,-0.1979050048108588,-0.09391991914271275,0.09266845268970975,25
-0.2722261705600232,-0.1534152585932567,-0.2832184653230034,-0.09999301192905978,0.07242022968480771,0.5088494948330304,26
-0.2472162866998481,-0.1818334398642726,-0.17189260099844422,-0.3280699086688993,-0.05355601194513937,-0.08276340014547515,27
-0.031272864224268886,-0.1637468223583531,-0.4756711210873855,0.027175674266375,-0.4474731734673901,-0.4620702137486391,28
-0.14230891156106856,-0.04014040246988344,-0.19440891875137808,-0.1104781981620278,-0.20195526722767126,-0.02080397715241383,29
-0.06440325754985575,0.16984659078544945,0.873061963075828,-0.1068143806872934,-0.2574838352049048,-0.7139906412830848,30
-0.03853885740232323,0.11254928184789999,0.22826033173885704,-0.09549749622385759,-0.18964540490958703,-0.596560841631668,31
-0.24813814829258776,-0.5669322395230818,0.45763906466890697,-0.2166788748325679,-0.309778797980861,-0.4345702230683381,32
0.19711849862340497,-0.032624578737973045,-0.4154470551594853,-0.26035260053273124,0.1251976996571141,-0.6755111562845777,33
-0.24189168225408297,-0.26302747772886087,-0.48501359558631085,-0.1285791240201934,-0.21755865380021347,0.4033547612102983,34
-0.2429792040858455,-0.17423162159026725,-0.5699996324937037,-0.24493687688974208,-0.44222759738607637,-0.5756488486390771,35
-0.18356803207438124,-0.3172486072119917,0.0186201634604343,-0.19867171836256298,-0.2952209550998928,1.8510465868960722,36
-0.05260091691255653,-0.31086017065667465,-0.4624339781747188,-0.17080295885573354,-0.0016379156237814852,0.58042416997729,37
-0.06764766803745381,0.30450600953744944,1.1653384909222668,-0.0002973530487573447,-0.1161788992901394,-0.7589575302701898,38
-0.2120074627698227,-0.20168366524467105,-0.0928951663844929,-0.13991240875379057,0.10580130877110129,0.7450726519919937,39
-0.08742265448612593,-0.12840861452242838,-0.2874657448134202,0.013182478687404959,-0.1922160965960916,-0.31904527117779774,40
-0.1257168383838294,-0.12133836192110817,0.013865845853082152,-0.21181154844833444,-0.2564387140838122,-0.28318163294273596,41
-0.18832796114502756,-0.2664867273279985,-0.07404284385099534,-0.10387057490652349,-0.022715044405537666,0.9159077149331882,42
-0.2643295687654086,-0.08302608845343286,0.09029857583168355,-0.25760466691510814,-0.12284700396864441,-0.715260174824534,44
0.0027702670675132718,-0.36149731505633587,-0.38468074747065967,-0.11909055254988445,-0.020961019148602107,-0.15453200899264896,45
0.14331350703701748,0.20900517318002948,0.7072130916503269,0.002865234495131397,-0.14155955604180695,-0.742735804037567,46
-0.06350626507660517,-0.31142802695196864,-0.2717338312148565,-0.028142307886473122,-0.1397822662546299,0.08791468188023403,47
-0.13603717273547586,-0.32448802448707703,-0.28330005839136246,-0.14216490865343637,0.0020273818245525555,3.181630923354115,48
-0.3733053700822491,-0.21259261615355662,-0.6488149296980347,-0.19576142853937237,-0.27893669836560464,-0.40834784079785036,49
0.40212789829985135,0.46464048269564473,0.16908760335710085,-0.08594250514768534,-0.3681955127133472,-0.77685308091117,50
-0.06525427999446202,-0.25661568063445084,-0.746038205826588,-0.2553427429725031,-0.07639667825955689,0.31964561184741336,51
-0.3332710175351787,-0.2338701119732428,-0.36414471879208044,-0.2711478470283844,-0.14104985868062828,0.19439619178949585,53
-0.04286617754092944,-0.17529908430425226,-0.1766091515744703,0.011262410576948285,-0.2954772599241355,-0.6210480852391013,54
-0.16053606116894437,-0.11860284659733572,1.2420204904774688,-0.04503993726775977,0.2879457652689261,-0.06046198234555432,55
0.22201960097094572,0.4288179420432261,0.6275573625654257,-0.04264774544929245,0.07180330366268396,-0.7861014055694159,56
-1.138266353810492,-1.1693203669939782,-1.3136205963241987,-0.9039560446241456,-1.0201710889302125,-0.41888992360263777,72
